Movie,Director,Year,Rating,Summary,Worldwide Box Office ($),Rotten Tomatoes (%),Rotten Tomatoes (as decimal)
The Inspection,Elegance Bratton,2022,R,"A young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside.",430608,88,0.88
White Noise,Noah Baumbach,2022,R,"Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world.",79040,64,0.64
The Eternal Daughter,Joanna Hogg,2022,PG-13,"Returning to a hotel now haunted by its mysterious past, an artist and her elderly mother confront long-buried secrets in their former family home.",288398,95,0.95
The Whale,Darren Aronofsky,2022,R,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.",54044481,64,0.64
This Place Rules,Andrew Callaghan,2022,TV-MA,"Follows events and characters surrounding the January 6th, 2021 insurrection of the U.S. Capital Building in the days preceding the attack.",100,100,1.00
When You Finish Saving the World,Jesse Eisenberg,2022,R,"Evelyn and her oblivious son Ziggy seek out replacements for each other as Evelyn desperately tries to parent an unassuming teenager at her shelter, while Ziggy fumbles through his pursuit of a brilliant young woman at school.",196920,62,0.62
Close,Lukas Dhont,2022,PG-13,"The intense friendship between two thirteen-year old boys Leo and Remi suddenly gets disrupted. Struggling to understand what has happened, Léo approaches Sophie, Rémi's mother. ""Close"" is a film about friendship and responsibility.",3487729,91,0.91
Sharper,Benjamin Caron,2023,R,Motivations are suspect and expectations are turned to chaos as a con artist takes on Manhattan billionaires.,100,68,0.68
Showing Up,Kelly Reichardt,2022,R,A sculptor preparing to open a new show tries to work amidst the daily dramas of family and friends.,754483,89,0.89
Beau Is Afraid,Ari Aster,2023,R,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic odyssey back home.",11174650,68,0.68
You Hurt My Feelings,Nicole Holofcener,2023,R,A novelist's longstanding marriage is suddenly upended when she overhears her husband giving his honest reaction to her latest book.,5315732,94,0.94
Past Lives,Celine Song,2023,PG-13,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",42913181,95,0.95
Earth Mama,Savanah Leaf,2023,R,An intimate coming of age story of a pregnant single mother who embraces her Bay Area community as she determines the fate of her family.,6406,97,0.97
The Deepest Breath,Laura McGann,2023,PG,"A champion and expert safety diver seemed destined for one another. Despite different paths taken, they meet at the pinnacle of the free-diving world, experiencing the thrilling rewards and inescapable risks of chasing dreams through the depths of the ocean.",100,85,0.85
Stephen Curry: Underrated,Peter Nicks,2023,PG-13,"The coming-of-age story of Stephen Curry, from an undersized basketball player at a small college, to becoming a larger-than-life NBA superstar.",100,85,0.85
Talk to Me,Danny Philippou,2022,R,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",92181818,94,0.94
Medusa Deluxe,Thomas Hardiman,2022,R,"A murder mystery set in a competitive hairdressing contest. Extravagance and excess collide, as the death of a contestant sows seeds of division in a community whose passion for hair verges on obsession.",67270,71,0.71
Dicks: The Musical,Larry Charles,2023,R,A pair of business rivals discover that they're identical twins and decide to swap places in an attempt to trick their divorced parents to get back together.,1472028,68,0.68
Priscilla,Sofia Coppola,2023,R,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend.",30977065,84,0.84
Dream Scenario,Kristoffer Borgli,2023,R,An ordinary family man finds his life turned upside down when strangers suddenly start seeing him in their dreams.,9083134,91,0.91
The Zone of Interest,Jonathan Glazer,2023,PG-13,"Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.
",26059709,93,0.93
The Iron Claw,Sean Durkin,2023,R,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.",45204449,89,0.89
Problemista,Julio Torres,2023,R,"Alejandro is an aspiring toy designer from El Salvador, struggling to bring his unusual ideas to life in New York City. As time on his work visa runs out, a job assisting an erratic art-world outcast becomes his only hope to stay in the country and realize his dream. From writer/director Julio Torres comes a surreal adventure through the equally treacherous worlds of New York City and the U.S. Immigration system.",2405378,86,0.86
Love Lies Bleeding,Rose Glass,2023,R,"From Director Rose Glass comes an electric new love story; reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou’s criminal family.",10420807,94,0.94
Civil War,Alex Garland,2023,R,An adrenaline-fueled thrill ride through a near-future fractured America balanced on the razor's edge.,106547052,81,0.81
I Saw The TV Glow,Jane Schoenbrun,2023,PG-13,"Teenager Owen is just trying to make it through life in the suburbs when his classmate introduces him to a mysterious late-night TV show — a vision of a supernatural world beneath their own. In the pale glow of the television, Owen’s view of reality begins to crack.",5315431,84,0.84
Tuesday,Daina O. Pusic,2023,R,"A mother (Julia Louis-Dreyfus, in a profoundly moving performance) and her teenage daughter (Lola Petticrew) must confront Death when it arrives in the form of an astonishing talking bird. From debut filmmaker Daina O. Pusić, Tuesday is a heart-rending fairy tale about the echoes of loss and finding resilience in the unexpected.",703123,76,0.76
Janet Planet,Annie Baker,2023,PG-13,"In rural Western Massachusetts, 11-year-old Lacy spends the summer of 1991 at home, enthralled by her own imagination and the attention of her mother, Janet. As the months pass, three visitors enter their orbit, all captivated by Janet and her spellbinding nature. In her solitary moments, Lacy inhabits an inner world so extraordinarily detailed that it begins to seep into the outside world. Pulitzer Prize-winning playwright Annie Baker captures a child's experience of time passing, and the ineffability of a daughter falling out of love with her mother, in this singularly sublime film debut.",800544,85,0.85
The Front Room,"Max Eggers, Sam Eggers",2024,R,"Everything goes to hell for newly-pregnant Belinda(Brandy) after her mother-in-law(Kathryn Hunter) moves in. As the diabolical guest tries to get her claws on the child, Belinda must draw the line somewhere...",3752692,42,0.42
Sing Sing,Greg Kwedar,2023,R,"Divine G (Colman Domingo), imprisoned at Sing Sing for a crime he didn’t commit, finds purpose by acting in a theatre group with other incarcerated men. When a wary outsider joins the group, the men decide to stage their first original comedy, in this stirring true story of resilience, humanity, and the transformative power of art, starring an unforgettable ensemble cast of formerly incarcerated actors.",3070275,97,0.97
